CNES,UNIDADE,COD_MUNICIPIO,MUNICIPIO,INE,CATEGORIA,CBO_DESCRICAO,CH
2281422,ESTRATEGIA DE SAUDE DA FAMILIA PEREQUE MODULO 2,330010,Angra dos Reis,0000287482,Assistente Social,ASSISTENTE SOCIAL,30.0
2281422,ESTRATEGIA DE SAUDE DA FAMILIA PEREQUE MODULO 2,330010,Angra dos Reis,0000287482,Assistente Social,ASSISTENTE SOCIAL,30.0
2281422,ESTRATEGIA DE SAUDE DA FAMILIA PEREQUE MODULO 2,330010,Angra dos Reis,0000287482,Fisioterapeuta,FISIOTERAPEUTA GERAL,30.0
2281422,ESTRATEGIA DE SAUDE DA FAMILIA PEREQUE MODULO 2,330010,Angra dos Reis,0000287482,Fisioterapeuta,FISIOTERAPEUTA GERAL,30.0
2281422,ESTRATEGIA DE SAUDE DA FAMILIA PEREQUE MODULO 2,330010,Angra dos Reis,0000287482,Fisioterapeuta,FISIOTERAPEUTA GERAL,30.0
2281422,ESTRATEGIA DE SAUDE DA FAMILIA PEREQUE MODULO 2,330010,Angra dos Reis,0000287482,Fonoaudiologo,FONOAUDIOLOGO GERAL,35.0
2281422,ESTRATEGIA DE SAUDE DA FAMILIA PEREQUE MODULO 2,330010,Angra dos Reis,0000287482,Fonoaudiologo,FONOAUDIOLOGO GERAL,35.0
2281422,ESTRATEGIA DE SAUDE DA FAMILIA PEREQUE MODULO 2,330010,Angra dos Reis,0000287482,Fonoaudiologo,FONOAUDIOLOGO GERAL,35.0
2281422,ESTRATEGIA DE SAUDE DA FAMILIA PEREQUE MODULO 2,330010,Angra dos Reis,0000287482,Fonoaudiologo,FONOAUDIOLOGO GERAL,35.0
2281422,ESTRATEGIA DE SAUDE DA FAMILIA PEREQUE MODULO 2,330010,Angra dos Reis,0000287482,Nutricionista,NUTRICIONISTA,20.0
2281422,ESTRATEGIA DE SAUDE DA FAMILIA PEREQUE MODULO 2,330010,Angra dos Reis,0000287482,Nutricionista,NUTRICIONISTA,35.0
2281422,ESTRATEGIA DE SAUDE DA FAMILIA PEREQUE MODULO 2,330010,Angra dos Reis,0000287482,Nutricionista,NUTRICIONISTA,35.0
2281422,ESTRATEGIA DE SAUDE DA FAMILIA PEREQUE MODULO 2,330010,Angra dos Reis,0000287482,Nutricionista,NUTRICIONISTA,35.0
2281422,ESTRATEGIA DE SAUDE DA FAMILIA PEREQUE MODULO 2,330010,Angra dos Reis,0000287482,Nutricionista,NUTRICIONISTA,20.0
